cupcake,link,eggs,sugar,salt,flour,butter,vanilla,water,baking_powder,oil,buttermilk,milk
1,https://www.allrecipes.com/boston-cream-pie-cupcakes-recipe-8550062,3,4,0.083325,2,2,0.49995,0,0,0,0,0
1,https://www.allrecipes.com/chocolate-cream-snack-cakes-recipe-8691276,4,20,0.16665,20,12,1.16655,12,0.3333,0,0,0
1,https://www.allrecipes.com/pumpkin-oreo-cupcakes-recipe-8727217,1,16,0.16665,20,4,0.6666,0,0.16665,2,0,0
1,https://www.allrecipes.com/recipe/105768/moist-red-velvet-cupcakes/,2,24,0.3333,32,8,0.3333,0,0,0,16,0
1,https://www.allrecipes.com/recipe/137363/easy-chocolate-cupcakes/,4,20,0.083325,24,10,0.3333,0,0.6666,0,0,12
1,https://www.allrecipes.com/recipe/14977/cheesecake-cupcakes/,5,32,0,0,0,0.6666,0,0,0,0,0
1,https://www.allrecipes.com/recipe/152120/pumpkin-ginger-cupcakes/,4,32,0.083325,32,16,0.3333,0,0,0,0,0
1,https://www.allrecipes.com/recipe/153245/pumpkin-spice-cupcakes/,2,69.33333349227904,0.16665,36,12,0.3333,0,1,0,0,12
1,https://www.allrecipes.com/recipe/155534/vegan-cupcakes/,0,16,0.16665,32,0,0.41662499999999997,0,0.6666,0,0,24
1,https://www.allrecipes.com/recipe/157877/vanilla-cupcake/,3,12,0,24,10.66666698455808,0.3333,0,0,0,0,0
1,https://www.allrecipes.com/recipe/15823/mini-cheesecakes/,2,10.66666698455808,0,0,0,0,0,0,0,0,0
1,https://www.allrecipes.com/recipe/161738/yazdi-cakes/,4,20,0,32,24,0,1,0.3333,0,0,0
1,https://www.allrecipes.com/recipe/17377/chocolate-cupcakes/,2,24,0.0416625,21.333333969116797,3,0.249975,0,0.6666,0,0,16
1,https://www.allrecipes.com/recipe/190739/chocolate-chip-cookie-dough-cupcake-the-best-cupcake-ever/,4,12,0.083325,24,8,0.6666,21.333333969116797,0,0,0,0
1,https://www.allrecipes.com/recipe/201921/lemon-cupcakes/,4,44,0.16665,48,16,0.3333,0,0,0,0,16
1,https://www.allrecipes.com/recipe/212429/red-velvet-cupcakes/,4,544,0.16665,40,20,0,0,0,0,0,8
1,https://www.allrecipes.com/recipe/213752/rainbow-clown-cake/,3,0,0,0,0,0,21.333333969116797,0,2,0,0
1,https://www.allrecipes.com/recipe/214696/real-strawberry-cupcakes/,2,24,0.083325,24,2,0.3333,0,0.6666,0,0,0
1,https://www.allrecipes.com/recipe/214853/oreo-mini-philly-cheesecakes/,2,8,0,0,0,0,0,0,0,0,0
1,https://www.allrecipes.com/recipe/21530/mini-cheesecakes-iii/,1,5,0,0,0,0.083325,0,0,0,0,0
1,https://www.allrecipes.com/recipe/216230/bloody-broken-glass-cupcakes/,3,56,0,0,0,0,52,0,0,0,0
1,https://www.allrecipes.com/recipe/218425/cupcake-princess-vanilla-cupcakes/,3,16,0.020833,20,5,0.3333,0,0,0,0,10.66666698455808
1,https://www.allrecipes.com/recipe/219060/mini-pumpkin-cheesecake/,4,24,0,2,0,0.3333,0,0,0,0,0
1,https://www.allrecipes.com/recipe/220104/strawberry-cheesecake-bites/,0,8,0,0,0,0.6666,0,0,1,0,0
1,https://www.allrecipes.com/recipe/220447/chocolate-beer-cupcakes-with-whiskey-filling-and-irish-cream-icing/,2,80,0.249975,32,26,0,0,0,0,0,0
1,https://www.allrecipes.com/recipe/220804/carrot-pineapple-cupcakes/,2,64,0.16665,24,8,0.6666,0,0.6666,0,0,1
1,https://www.allrecipes.com/recipe/22955/chocolate-surprise-cupcakes/,1,40,0.41662499999999997,48,0,0.6666,32,0,0,0,0
1,https://www.allrecipes.com/recipe/229952/sweet-potato-cupcakes-with-toasted-marshmallow-frosting/,4,29.33333349227904,0.18748299999999998,32,8,0.6666,3,0.6666,0,0,8
1,https://www.allrecipes.com/recipe/230204/maris-banana-cupcakes/,2,32,0,32,0,0,0,0,0,3,0
1,https://www.allrecipes.com/recipe/231356/brownie-cupcakes/,4,24,0,16,16,0.3333,0,0,0,0,0
1,https://www.allrecipes.com/recipe/233538/really-real-strawberry-cupcakes/,3,21.333333969116797,0.16665,24,8,0.3333,0,0.49995,0,0,10.66666698455808
1,https://www.allrecipes.com/recipe/239721/brownie-cheesecake-cupcakes/,2,8,0,2,3,0.3333,4,0,0,0,0
