state,academic_year,tuition
Alabama,2004-05,5682.838120380147
Alabama,2005-06,5840.549785056294
Alabama,2006-07,5753.496432432433
Alabama,2007-08,6008.168871819491
Alabama,2008-09,6475.091705915513
Alabama,2009-10,7188.954302510785
Alabama,2010-11,8071.133759305723
Alabama,2011-12,8451.902222891085
Alabama,2012-13,9098.069156365667
Alabama,2013-14,9358.928841920719
Alabama,2014-15,9496.08410616773
Alabama,2015-16,9751.101349251952
Alaska,2004-05,4328.28136219641
Alaska,2005-06,4632.623449334697
Alaska,2006-07,4918.500619164619
Alaska,2007-08,5069.8221315410465
Alaska,2008-09,5075.482406211925
Alaska,2009-10,5454.606609674439
Alaska,2010-11,5759.1529509978855
Alaska,2011-12,5762.420525668151
Alaska,2012-13,6026.142668831622
Alaska,2013-14,6012.444734505496
Alaska,2014-15,6148.8080103742395
Alaska,2015-16,6571.340316948697
Arizona,2004-05,5138.495311510031
Arizona,2005-06,5415.516049129989
Arizona,2006-07,5481.419144963145
Arizona,2007-08,5681.637954872779
Arizona,2008-09,6058.463821352584
Arizona,2009-10,7263.204331533172
Arizona,2010-11,8839.604652976226
Arizona,2011-12,9966.716344579101
Arizona,2012-13,10133.503177596202
Arizona,2013-14,10296.19970945452
Arizona,2014-15,10413.843881948766
Arizona,2015-16,10646.278351749399
Arkansas,2004-05,5772.301869060189
Arkansas,2005-06,6082.37932446264
Arkansas,2006-07,6231.97717936118
Arkansas,2007-08,6414.9003648583775
Arkansas,2008-09,6416.503409648851
Arkansas,2009-10,6627.092142595113
Arkansas,2010-11,6900.9124126764245
Arkansas,2011-12,7028.991050008409
Arkansas,2012-13,7286.580461275229
Arkansas,2013-14,7408.49506258476
Arkansas,2014-15,7606.4100076366985
Arkansas,2015-16,7867.29673593428
California,2004-05,5285.921488912354
California,2005-06,5527.88128966223
California,2006-07,5334.825778869779
California,2007-08,5672.47217474796
California,2008-09,5897.888490843956
California,2009-10,7258.771493979597
California,2010-11,8193.738802170532
California,2011-12,9436.425766414957
California,2012-13,9360.573556114254
California,2013-14,9274.193266401124
California,2014-15,9186.824330004287
California,2015-16,9269.844227224636
Colorado,2004-05,4703.777096092925
Colorado,2005-06,5406.966519959058
Colorado,2006-07,5596.348343980344
Colorado,2007-08,6227.001872299568
Colorado,2008-09,6284.137258824171
Colorado,2009-10,6948.472865229323
Colorado,2010-11,7748.200833902876
Colorado,2011-12,8315.632333283167
Colorado,2012-13,8792.8557074516375
Colorado,2013-14,9292.953577972225
Colorado,2014-15,9298.598732299311
Colorado,2015-16,9748.187715504646
Connecticut,2004-05,7983.694530095036
Connecticut,2005-06,8249.074288638689
Connecticut,2006-07,8367.549336609336
Connecticut,2007-08,8677.702333173307
Connecticut,2008-09,8720.976396137548
Connecticut,2009-10,9371.01858825824
Connecticut,2010-11,9827.013123191033
Connecticut,2011-12,9736.430794699054
Connecticut,2012-13,10036.626553879461
Connecticut,2013-14,10453.110454684129
Connecticut,2014-15,10663.99540812104
Connecticut,2015-16,11397.336553140489
Delaware,2004-05,8352.89
Delaware,2005-06,8610.597236438074
Delaware,2006-07,8681.845513513514
Delaware,2007-08,8945.801401824292
Delaware,2008-09,8995.473413831354
Delaware,2009-10,9987.18300820521
Delaware,2010-11,10534.18149542913
Delaware,2011-12,11026.241145173997
Delaware,2012-13,11362.690446260214
Delaware,2013-14,11502.523758594734
Delaware,2014-15,11514.659801409278
Delaware,2015-16,11676.215597471757
Florida,2004-05,3848.201246040126
Florida,2005-06,3924.2338894575228
Florida,2006-07,3887.6560687960687
Florida,2007-08,3879.416437830053
Florida,2008-09,4150.004318888545
Florida,2009-10,4783.031720307777
Florida,2010-11,5510.658801620102
Florida,2011-12,5940.944644611856
Florida,2012-13,6494.900525525525
Florida,2013-14,6451.664428895833
